36;Centro de Salud Mental de Ortuella;Avenida Minero, 1, 48530 Ortuella (Bizkaia);48530;Ortuella;08:00 - 15:00;Centro de Salud Mental;946007638
37;Consultorio de Zuhatzu Kuartango;Entidad Zuhatzu Kuartango, 21-B, 01430 Kuartango (Álava);01430;Kuartango;09:00 - 13:00;Consultorio;
38;Centro de Salud Mental de Infancia y Adolescencia de Rekalde;Plaza Belategi, 6 - bajo, 48002 Bilbao (Bizkaia);48002;Bilbao;08:00 - 15:00;Centro de Salud Mental;944211717
39;Consultorio de Güeñes;Jose Miguel Arrieta Mascarua, 6, 48840 Güeñes (Bizkaia);48840;Güeñes;09:00 - 13:00;Consultorio;
40;C.S. DE ESPEJO;Carretera Bilbao, 61, 01423 Valdegovía/Gaubea (Álava);01423;Valdegovía/Gaubea;24 horas;PAC;945351011
41;Centro de Salud de Campezo;Juntas Generales, 6, 01110 Campezo/Kanpezu (Álava);01110;Campezo/Kanpezu;08:00 - 20:00;Centro de Salud;945415345
42;Centro de Salud de Pasai Antxo;Eskalantegi, 68, 20110 Donostia / San Sebastián (Gipuzkoa);20110;Donostia / San Sebastián;08:00 - 20:00;Centro de Salud;
43;C.S. DE OYÓN;Fueros, 6, 01320 Oyón-Oion (Álava);01320;Oyón-Oion;24 horas;PAC;945622155
44;Consultorio de Usansolo;Plaza Unkinako plaza, s/n, 48960 Galdakao (Bizkaia);48960;Galdakao;09:00 - 13:00;Consultorio;
45;Centro de Salud de Trapagaran;San José, s/n, 48510 Valle de Trápaga-Trapagaran (Bizkaia);48510;Valle de Trápaga-Trapagaran;08:00 - 20:00;Centro de Salud;946007760
46;Consultorio de Txarama;Barrio Txarama, 4, 20400 Leaburu (Gipuzkoa);20400;Leaburu;09:00 - 13:00;Consultorio;943201501
47;Consultorio de Berrobi;Jose Maria Goikoetxea, 23, 20493 Berrobi (Gipuzkoa);20493;Berrobi;09:00 - 13:00;Consultorio;943161877
48;PAC DE BERGARA;Paseo Boni Laskurain, 11, 20570 Bergara (Gipuzkoa);20570;Bergara;24 horas;PAC;943035400
49;Consultorio de Berango;Moreaga, 9, 48640 Berango (Bizkaia);48640;Berango;09:00 - 13:00;Consultorio;
50;Consultorio de Atxondo;Plaza Los Fueros, 2, 48291 Atxondo (Bizkaia);48291;Atxondo;09:00 - 13:00;Consultorio;
51;Centro de Salud de Labastida;La Piñuela, 2, 01330 Labastida/Bastida (Álava);01330;Labastida/Bastida;08:00 - 20:00;Centro de Salud;945331258
52;Centro de Salud de Gernika-Lumo;San Juan, 1, 48300 Gernika-Lumo (Bizkaia);48300;Gernika-Lumo;08:00 - 20:00;Centro de Salud;
53;Consultorio de Arantzazu;Barrio Zelaia, 17, 48140 Arantzazu (Bizkaia);48140;Arantzazu;09:00 - 13:00;Consultorio;946007463
54;Consultorio de Abadiño-Zelaieta;Plaza Txanporta, 4, 48220 Abadiño (Bizkaia);48220;Abadiño;09:00 - 13:00;Consultorio;
55;Centro de Salud de Ondarreta;Avenida Zumalakarregi, 24, 20008 Donostia / San Sebastián (Gipuzkoa);20008;Donostia / San Sebastián;08:00 - 20:00;Centro de Salud;
56;Hospital Universitario de Araba - sede Santiago;Olaguibel, 29, 01004 Vitoria-Gasteiz (Álava);01004;Vitoria-Gasteiz;24 horas;Hospital;945007600
57;Ambulatorio de Markonzaga;Antonio Trueba, 17, 48910 Sestao (Bizkaia);48910;Sestao;08:00 - 20:00;Ambulatorio;
58;Consultorio de Dima;Telleri, 25, 48141 Dima (Bizkaia);48141;Dima;09:00 - 13:00;Consultorio;
59;Centro de Salud de La Paz;La Paz, 1-Y, 48903 Barakaldo (Bizkaia);48903;Barakaldo;08:00 - 20:00;Centro de Salud;946007920
60;Consultorio de Sondika;Avenida Jose Antonio Agirre Lehendakari, 41, 48150 Sondika (Bizkaia);48150;Sondika;08:00 - 20:00;Centro de Salud;
61;Consultorio de Berriatua;Erribera, 39, 48710 Berriatua (Bizkaia);48710;Berriatua;09:00 - 13:00;Consultorio;
62;Consultorio de Asteasu;Mayor-Nagusia, 8, 20159 Asteasu (Gipuzkoa);20159;Asteasu;09:00 - 13:00;Consultorio;943692423
63;Hospital Universitario de Donostia;Paseo Doctor Begiristain, 109, 20014 Donostia / San Sebastián (Gipuzkoa);20014;Donostia / San Sebastián;24 horas;Hospital;
64;Centro de Salud de Zuazo;Lurkizaga, 6, 48902 Barakaldo (Bizkaia);48902;Barakaldo;08:00 - 20:00;Centro de Salud;
65;Hospital de Día de Ortuella;Avenida Minero, 3, 48530 Ortuella (Bizkaia);48530;Ortuella;24 horas;Hospital de Día;946007638
66;Consultorio de Elciego;Avenida Marqués de Riscal, 6, 01340 Elciego (Álava);01340;Elciego;09:00 - 13:00;Consultorio;
