480987;BARAÑANO ZABALA Jone ;Arkotxa Auzoa/Barrio 34;48480;ZARATAMO;1;944565578
480986;ANDRACA ITURBE Irune ;Itsasbide Kalea/Calle 30;48630;GORLIZ;1;946128941
480985;LOPEZ-ANTE SOMOKURCIO Ana VITORIA BOLUMBURU Oihana;Trañabarren Etorbidea/Avenida 15;48220;ABADIÑO;0;946217009
480988;GOMEZ DE ITURRIAGA SIRVENT Mª Asunción GOMEZ DE ITURRIAGA PRIETO Fernando;Gran Vía de Jose Antonio Agirre y Lekube Kalea/Calle 3;48910;SESTAO;1;944962130
480989;MORENO IZAGUIRRE David MORENO IZAGUIRRE Mikel;Mestikabaso Kalea/Calle 19;48300;GERNIKA-LUMO;0;946256324
480984;PELAYO SESMA Paula ;Iturriaga Kalea/Calle 4;48004;BILBAO;0;944117393
480990;GOITISOLO FERNANDEZ Elena ;Paskual Abaroa Etorbidea/Avenida 41;48280;LEKEITIO;1;946840856
480994;LUMBRERAS AGUIRRE Leire ;Colón de Larreategui Kalea/Calle 18;48001;BILBAO;1;944233589
480996;AMILLATEGI OMAETXEBARRIA ARITZ ;Alhondiga Kalea/Calle 2;48300;GERNIKA-LUMO;1;946250885
480992;AMOROS PISABARRO Natalia ;Altzibar-Auzoa Taldea/Grupo 3;48277;ETXEBARRIA;0;946166356
480993;ELOSEGUI MARTINEZ Ane ;Lauaxeta Kalea/Calle 7;48111;LAUKIZ;0;946152817
010112;ALONSO CHAO Azucena ;Porticada Plaza/Plaza 4;01015;VITORIA-GASTEIZ;0;945191641
481000;ULLATE DE LA TORRE Enrique ;Sendeja Kalea/Calle 7;48007;BILBAO;0;944451407
480999;EZQUERRA GALARZA Sofia Mercedes ;Ángel Etorbidea/Avenida 2;48993;GETXO;1;944914704
481002;LARREA LOTINA Carlos ;Ribera Kalea/Calle 20;48005;BILBAO;0;944151418
481003;ARRIETA BEREZIARTUA Naiara ;Jose Antonio Aguirre Lekube Kalea/Calle 1;48291;ATXONDO;0;946582097
481001;MARTINEZ GONZALEZ GERMAN ASIS ;Basagoiti Etorbidea/Avenida 45;48991;GETXO;1;944914632
481004;BALANZATEGUI BERNARDINO Mª Cruz ;Loiolako Inazio Kalea/Calle 12;48960;GALDAKAO;1;944572707
480937;GOROSTIAGA OMAECHEVARRIA Izaskun ;Goiko kalea Kalea/Calle 49;48360;MUNDAKA;1;946876805
480939;RODRIGO GUTIERREZ Jon ;Juan de Garai Kalea/Calle 13;48901;BARAKALDO;1;944375084
480938;ZARRAGA SUAREZ Maite ;Metacal Kalea/Calle 6;48450;ETXEBARRI;1;946576195
480933;URAGA SANCHEZ Leire ;Uribarri Kalea/Calle 25;48007;BILBAO;0;944450795
480941;SANTAMARIA DIAZ Gabriela ;Errekakale Kalea/Calle 6;48230;ELORRIO;1;946820304
480936;DEL PALACIO ATIENZA Virginia Victoria ;Portu Kalea/Calle 14;48901;BARAKALDO;0;944372736
480940;MUÑOZ RIERA Enrique ;Juan Ajuriaguerra Kalea/Calle 52;48009;BILBAO;1;944238817
480942;REY MAYOR MONICA REY MAYOR BEATRIZ;Nieto Ulibarri Kalea/Calle 2;48510;VALLE DE TRÁPAGA-TRAPAGARAN;1;944863929
480944;ANGOITIA GARCIA Sergio ;Asturias Kalea/Calle 2;48902;BARAKALDO;0;944370356
480943;GOROSTIZAGA LEGUEY Miren Itziar ;Recalde Zumardia/Alameda 8;48009;BILBAO;0;944236056
480945;OJANGUREN GUERRA Iñigo  ;Pintor Losada Kalea/Calle 31;48004;BILBAO;1;944111030
480934;SALDAÑA URRUTIA Gonzalo ;Sabino Arana Kalea/Calle 28;48600;SOPELA;1;946129547
480898;GONZALEZ PEREZ PAULA ;Lehendakari Aguirre Etorbidea/Avenida 30;48014;BILBAO;0;944750979
200294;TENA MARTÍN Juan ;Tranbia Ibilbidea/Paseo 9;20115;ASTIGARRAGA;0;943543718
480901;FERNANDEZ CORTA Mercedes FERNANDEZ CORTA Antonio;Gordóniz Kalea/Calle 50;48002;BILBAO;1;944210964
480900;GARCIA VIVANCO Maria ;Ramón de Durañona Kalea/Calle 18;48510;VALLE DE TRÁPAGA-TRAPAGARAN;0;944921952
480899;AURRE HERVALEJO Aintzane ;Portubidea Kalea/Calle 7;48620;LEMOIZ;0;946879341
480902;GONZALEZ PELAEZ Angela ;Severo Ochoa Kalea/Calle 10;48480;ARRIGORRIAGA;0;946715050
010113;DUO URIARTE Begoña ;Bulevar de Salburua Kalea/Calle 44;01003;VITORIA-GASTEIZ;0;945778205
480903;ALCALA ETAYO Aranzazu ;Zubiaurre Kalea/Calle 29;48260;ERMUA;1;943171754
200298;ESPARZA ETXARRI Blanca ;Santuiturri Plaza/Plaza 5;20800;ZARAUTZ;1;943504783
480905;EGUSKIZA SANCHEZ Iñigo ;Gran Vía de Jose Antonio Agirre y Lekube Kalea/Calle 39;48910;SESTAO;1;944966762
480904;EGUSKIZA SANCHEZ Maialen ;Via Galindo Kalea/Calle 7;48910;SESTAO;1;944960408
480906;LONGARAI BARRUETABEÑA Aitziber ;Aretxalde Auzoa/Barrio 51;48196;LEZAMA;1;944556296
480907;SANCHEZ ROBLES Miren Itziar ;Urbitarte Industrialdea/Pol. Indus. 4;48220;ABADIÑO;0;946212299
480913;LINAZA GARCÍA Amaya LINAZA PEÑA Iñaki;Lehendakari Aguirre Etorbidea/Avenida 159;48015;BILBAO;1;944761392
481007;RODRIGUEZ DIEZ Juan Carlos ;Kareaga Goikoa Kalea/Calle 50;48970;BASAURI;1;944490643
481006;GARCIA ARAZOSA Iciar ;Reyes Católicos Etorbidea/Avenida 13;48012;BILBAO;0;944210180
481005;AMIGO LABARI Paloma ;Las Viñas Kalea/Calle 31;48980;SANTURTZI;1;944626988
481008;CARMONA DAVILA Vanesa ;Recalde Zumardia/Alameda 37;48011;BILBAO;1;944701212
481011;DE EGUILEOR ASTIGARRAGA Miguel ;Agirre Lehendakaria Etorbidea/Avenida 51;48970;BASAURI;1;944493361
481010;VIAR MORON Teresa Toscana ;Bidezabal Kalea/Calle 2;48993;GETXO;0;944319007
481012;DE LA PRESA UNANUE Aritz ;Ronda de Azkue Kalea/Calle 38;48902;BARAKALDO;1;944997820
480916;ISASI PEREZ Eunate ISASI PEREZ Ainara;Urgoiti Ibilbidea/Paseo 14;48480;ARRIGORRIAGA;1;946710517
480917;MARTINEZ SANTOS Beatriz ;Itsasalde Kalea/Calle 24;48980;SANTURTZI;0;944839212
481013;IBARROLA GANZABAL Goretti ;Foru Plaza/Plaza 12;48460;URDUÑA/ORDUÑA;1;945383007
481009;LESMES PUENTE Yolanda ;Virgen de Begoña Kalea/Calle 2;48006;BILBAO;1;944163559
481016;TORRE FERNANDEZ-NAVAMUEL Javier ;Concha Auzoa/Barrio 5;48891;KARRANTZA HARANA/VALLE DE CARRANZA;0;946806220
200119;BARRUTIA GÜENAGA Ane Miren ;Nafarroa Etorbidea/Avenida 9;20200;BEASAIN;1;943253741
481015;ORBEA VITORIA Laura ORBEA VITORIA Maria;Ocho de Enero Kalea/Calle 5;48300;GERNIKA-LUMO;0;946250990
481014;GONZALEZ UMARAN Ignacio María ;Gran Vía de Jose Antonio Agirre y Lekube Kalea/Calle 62;48910;SESTAO;1;944723077
481019;GARRASTAZU BARRENA Agurtzane ;J.A. Agirre eta Lekube Plaza/Plaza 8;48950;ERANDIO;1;944530124
481017;RON LUÑO Santiago RON LUÑO Martin RON LUÑO;Kareaga Goikoa Kalea/Calle 16;48970;BASAURI;1;944491699
481018;LLORENTE FRANCO Victor LLORENTE LACHA Victor;Pedro Eguillor Plaza/Plaza 2;48008;BILBAO;0;944795910
010106;BERASATEGUI ASURABARRENA Unai ;8 de Marzo Etorbidea/Avenida 5;01002;VITORIA-GASTEIZ;1;945779900
481020;ECHEVARRIA BUENECHEA Joseba Andoni ;Artatza Kalea/Calle 28;48940;LEIOA;0;946452338
480918;AZNAR AVILA Mariola ;Doctor Madinabeitia Plaza/Plaza 4;48810;ALONSOTEGI;0;944980056
